sgRNA	Gene	R1_Unsorted	R2_Unsorted	R1_Selected	R2_Selected	R1_Negative	R2_Negative	R1_Low	R2_Low	R1_High	R2_High	PlasmidLib
Zfp52_p1_12	Zfp52_p1	361.0687793680952	234.34562652818312	226.56626119107673	260.23331247059826	302.25309664016186	337.72341837991445	418.02462925539066	286.25378291888586	293.9279701675965	307.6835965955502	219.84851733966056
Zbtb21_p1_2	Zbtb21_p1	385.90419805478956	815.177731542821	496.6251528786548	620.2758989010231	393.517830365925	756.0148417981744	477.9101800756854	773.8161204921103	388.8766122161179	872.2047717051826	516.4101343467771
Zfp946_p1_11	Zfp946_p1	365.8448214232287	365.17662047950006	297.3682178132882	283.4765680502839	358.18954634304896	353.1748166064465	309.99579248152565	288.58104944668173	321.9997425993333	341.58094198319554	217.04194052255852
Cenpt_p2_3	Cenpt_p2	422.2021176738044	635.4648277635395	428.8575658259667	449.3696078739227	416.08867849165136	730.6304018545861	386.32051411523463	514.3259026428763	361.63048015002045	546.2687583624387	379.8233959144774
Cdx4_p1_10	Cdx4_p1	464.23128775897953	759.1073055636853	414.6971745015244	524.5683759258469	443.5662327316661	1094.841931479984	516.659654135876	842.4704830620869	401.2612177007076	822.6624976770855	383.56549833728013
Ctcf_p1_11	Ctcf_p1	565.4833793278104	579.3944017844037	566.4156529776918	809.4121943043476	505.39072977169917	525.3475397020891	724.497742276899	660.943693894013	478.87141207080333	466.7403711068092	710.0639347268186
Cc2d1a_p1_8	Cc2d1a_p1	652.4073447312408	504.6338338122226	612.9426530437165	557.3823838030502	560.3458382517287	444.7795346637435	567.1513930627913	500.3623034761014	740.5994079784665	512.3714129747933	652.9968727790769
Zfp516_p3_4	Zfp516_p3	568.3490045608905	514.6977564238623	406.60552231612877	479.4491150946924	654.5545956460647	335.5160757761241	601.2039611762922	510.83500285118254	483.8252542646392	465.4366270534382	453.7299187648314
Crxos_p4_9	Crxos_p4	98.38646633575081	231.47022006771462	213.4173263898089	155.86653741671557	109.91021696005885	261.5700985491494	169.08861408083217	272.290183752111	184.1178015375675	280.3049714747597	156.2327761520141
Zfp758_p1_12	Zfp758_p1	257.90627097721085	572.2058856332324	399.5253266539076	509.07287220605645	200.19360946296433	424.9134512296309	241.8906562545238	516.6531691706721	215.4921354318615	586.6848240169389	491.1509429928587
Etv4_p1_8	Etv4_p1	625.661509222493	616.7746857704942	459.20126152120014	530.0373772387142	584.8793688231704	683.1725358730948	631.7338498297757	737.743489311275	557.3072468065384	662.3019791124556	502.3772502612669
Zfp977_p1_4	Zfp977_p1	976.2229960692944	579.3944017844037	638.2290661230777	604.7803951812327	1033.3523076691247	720.6973601375298	834.8750320241089	749.3798219502542	983.3376754764255	642.7458183118908	555.7022097862058
Zfp644_p1_12	Zfp644_p1	605.6021325909321	869.8104542917226	553.266718176424	648.988155793576	896.9458776919089	911.6324953653899	780.8606136371764	911.1248456320636	568.8662119254888	859.1673311714728	625.866630213757
Nr1d2_p1_5	Nr1d2_p1	319.0396092829201	211.34237484443508	313.5515221840794	274.36156586217186	428.8461143888011	155.61765356721546	414.5019497953733	159.41775715401369	529.2354743748016	168.18298288485582	276.91557928740224
Atf1_p1_11	Atf1_p1	315.21877563881327	662.7811891379903	531.0146746665861	642.6076542618976	302.25309664016186	486.719044135759	446.20606493552935	607.416563754709	440.8919552513948	598.4185204972778	607.1561180997434
Zfp37_p1_3	Zfp37_p1	657.1833867863743	464.3781433656635	439.9835875808856	439.79885557640506	504.40938854884155	535.2805814191454	581.2421109028606	684.2163591719711	545.7482816875879	555.3949667360355	501.4417246555662
Lbr_p2_7	Lbr_p2	368.7104466563088	983.3890094802285	564.3927399313429	710.9701706727377	398.42453648021336	1428.1506646523178	339.3514546483368	946.033843549001	356.67663795618455	971.2893197613766	605.285066888342
Zfp84_p1_4	Zfp84_p1	689.6604727612823	365.17662047950006	438.9721310577112	434.78560437294345	631.0024062974808	454.7125763807998	746.8080455236754	354.9081454888626	769.4968207758426	371.567055210728	343.33789729215073
Zfp760_p1_5	Zfp760_p1	784.2261054529263	1437.7032302342523	802.0850228773386	894.1817146537894	876.3377120118978	1370.7597569537702	922.9420185245423	1314.9055882046384	840.5018922208237	1456.2821076153796	812.9717513538938
Cebpg_p1_3	Cebpg_p1	790.9125643301132	388.1798721632481	668.5727618183113	516.8206240659516	598.6181459431776	208.59387605818245	864.23069419092	290.90831597447755	815.7326812516443	375.4782873708409	603.4140156769407
Rbpj_p2_8	Rbpj_p2	558.7969204506235	498.8830208912855	410.65134840882655	422.0246013095866	598.6181459431776	718.4900175337395	622.3400379363962	557.380333407099	328.6048655244478	465.4366270534382	383.56549833728013
Cdx1_p1_7	Cdx1_p1	878.7917381445703	547.7649307192502	503.70534854087595	567.4088862099734	780.1662721718463	686.4835497787803	737.4142336302958	655.1255275745234	705.096872255976	525.4088535085031	521.0877623752806
