Gene	reporter	pval	fdr	lfc	norm_lfc	zfc
Arid4a_p1	RE57R	0.44575719802634894	1	-0.40702198280491175	-0.02558032426627945	-0.13624863248689506
Arid4a_p1	RE58	2.459545703182877e-5	0.0026317139024056788	0.06986472727890952	0.45130638581754184	-0.7819449296844774
Arid4a_p1	RE61	0.6656455277205502	1	-0.5865787946299131	-0.2051371360912808	0.08767468041677526
Arid4a_p1	RE85	5.034582272312783e-4	0.04380086576912121	-1.4446876474560713	-1.063245988917439	1.0594227031883479
Arid4a_p1	RE93	0.016306044463170064	1	-0.15756317047170942	0.2238784880669229	-0.4709011106398292
Arid4a_p1	RE95	6.287670322311543e-5	0.006790683948096466	-0.14733543559742715	0.23410622294120517	-0.6421157086290139
Arid4a_p1	RE96	0.012775462660831915	1	-0.23825467696707472	0.1431869815715576	-0.41232101087271805
Arid4a_p1	RE97	1.515124940390098e-4	0.01590881187409603	-5.02344832961486e-4	0.38093931370567086	-0.7916979863547983
Arnt_p1	RE127	1.6765918535527017e-5	0.0018107192018369178	0.6788673040097373	0.4457702052287382	-0.9493731145136088
Arnt_p1	RE57L	0.03426589486453879	1	-0.36270824356444537	-0.5958053423454444	0.3911253630694099
Arnt_p1	RE57M	0.040221277057149354	1	-0.11815882900917679	-0.35125592779017584	0.3054830939834372
Arnt_p1	RE57R	0.2972457747795084	1	0.2999954796884183	0.06689838090741927	-0.2277260543748702
Arnt_p1	RE58	0.6382045412902899	1	0.1894314606749441	-0.04366563810605492	-0.10636009849391415
Arnt_p1	RE61	0.017691126089720715	1	-0.15900525107717783	-0.3921023498581769	0.4258657773605814
Arnt_p1	RE85	0.5759636941371593	1	-0.044304287088834514	-0.27740138586983354	0.07544905899623525
Arnt_p1	RE93	0.7880159416463708	1	0.1841062316102629	-0.048990867170736134	0.05264367950727535
Arnt_p1	RE95	0.6343012496454742	1	0.12246459117572257	-0.11063250760527646	0.07815341358213806
Arnt_p1	RE96	0.0028801611293189085	0.2620946627680207	-0.2845094145325756	-0.5176065133135747	0.621512266364013
Arnt_p1	RE97	0.10554945255183429	1	0.3598090392970659	0.12671194051606688	-0.3975873815730275
Ascl2_p2	RE127	0.017078277429366958	1	-0.07978307070955001	-0.2675621807581454	0.4448686726375393
Ascl2_p2	RE57L	0.8512435289799609	1	0.01349428429110712	-0.17428482575748827	-0.024893365816879842
Ascl2_p2	RE57M	0.508773371121789	1	0.1012814470323424	-0.086497663016253	-0.05759750320343916
Ascl2_p2	RE57R	0.16534943956970077	1	-0.04161168883451716	-0.22939079888311256	0.23269356732186752
Ascl2_p2	RE58	0.43803464247925916	1	-0.13015514860598146	-0.31793425865457686	0.18766955762160545
Ascl2_p2	RE61	0.18441692265467755	1	-0.06769403819880454	-0.2554731482474	0.195068509929325
Ascl2_p2	RE85	0.8980004346546906	1	-0.05872451874265539	-0.24650362879125082	0.02656122557376213
Ascl2_p2	RE93	0.03703580433924967	1	-0.051572883279432526	-0.23935199332802792	0.40986642659496497
Ascl2_p2	RE95	6.529616468262618e-4	0.0666020879762787	-0.2594743867920426	-0.447253496840638	0.7894528237788072
Ascl2_p2	RE96	0.09935585370566889	1	-0.06681706724615022	-0.2545961772947456	0.2392194677831056
Ascl2_p2	RE97	0.0023418371996746456	0.22950004556811526	-0.24136710767007918	-0.42914621771867456	0.554729298849147
Atf5_p1	RE127	0.0415525814716034	1	-0.6149996623405178	-0.4036359329662978	0.69287112393149
Atf5_p1	RE57L	0.01893392467716522	1	-1.165932528209893	-0.9545687988356729	0.7641835498003353
Atf5_p1	RE57M	0.0026366321884032594	0.21620383944906726	-1.2327410942244819	-1.0213773648502618	1.1836373829757971
Atf5_p1	RE57R	0.6873709731233261	1	-0.38461733521240504	-0.17325360583818503	0.1492784449433098
Atf5_p1	RE58	0.11868973546667799	1	-0.8300388130619084	-0.6186750836876883	0.5495600873337295
Atf5_p1	RE61	0.018484140951035934	1	-0.8766834633391081	-0.665319733964888	0.9091498527917459
Atf5_p1	RE85	0.005930223662902854	0.48034811669513117	-1.4609834479996462	-1.249619718625426	1.296582419356733
Atf5_p1	RE93	0.25670536825544593	1	-0.43332017366926484	-0.22195644429504477	0.3749330694717884
Atf5_p1	RE95	0.7138301051301892	1	-0.3090066180168955	-0.09764288864267545	0.10447261723797217
Atf5_p1	RE96	0.045305505587555736	1	-0.8289647741619122	-0.6176010447876921	0.7879944897975732
Atf5_p1	RE97	0.43604489234984933	1	-0.47460204009349244	-0.2632383107192724	0.24323207779911915
